term,estimate,std.error,conf.level,conf.low,conf.high,statistic,df.error,p.value
(Intercept),1.9886430105699937,0.16907337530877858,0.95,1.657265284220164,2.3200207369198234,11.762011652858627,Inf,0
I(abs(YEAR - 1)),0.17701867389998993,0.04117289490358149,0.95,0.09632128274971749,0.25771606505026234,4.2993982889600435,Inf,1.71e-5
Elevation,0.00591489690111124,0.0035706195896856715,0.95,-0.00108338889716586,0.01291318269938834,1.6565463647254395,Inf,0.0976112
InitialHabitatMeadow,0.7734978833895557,0.23268788643005298,0.95,0.31743800634790564,1.2295577604312058,3.3241862963161712,Inf,8.868e-4
InitialHabitatRangeland,0.8435933637878603,0.1934388194155854,0.95,0.46446024452136564,1.222726483054355,4.361034493161778,Inf,1.29e-5
InitialHabitatForest:YEAR,-0.06675367410204328,0.03272509488377314,0.95,-0.1308936814648946,-0.0026136667391919444,2.0398313385836304,Inf,0.0413671
InitialHabitatMeadow:YEAR,-0.11376800258950688,0.03185048158785174,0.95,-0.1761937993919524,-0.05134220578706137,3.571939792360934,Inf,3.543e-4
InitialHabitatRangeland:YEAR,-0.1479583164896513,0.019946727650840244,0.95,-0.1870531842947274,-0.10886344868457519,7.4176736695664784,Inf,0
TreatmentControl:YEAR,0.04558346066613463,0.0196747166547058,0.95,0.0070217246168809005,0.08414519671538837,2.3168547464307188,Inf,0.0205116
TreatmentMowing:YEAR,0.03497511522134673,0.019794503819612407,0.95,-0.0038213993569341173,0.07377162979962756,1.766910428272183,Inf,0.0772432
TreatmentSummerExclosure:YEAR,0.0422395730437326,0.01977164483908985,0.95,0.003487861243999274,0.08099128484346593,2.136371221893597,Inf,0.0326492
TreatmentWinterExclosure:YEAR,0.067237446428773745,0.019444901234596412,0.95,0.029126140326026353,0.10534875253152114,3.457844584427342,Inf,5.445e-4
slope,-0.006000585497546032,0.005391705006543262,0.95,-0.01656813312563512,0.0045669621305430555,1.112929118018112,Inf,0.2657389
I((YEAR - 1)^2),-0.03184484766311411,0.02820868846679914,0.95,-0.0871328611091508,0.02344316578292259,1.1289021005210726,Inf,0.2589391
aspect,2.390526993939765e-4,2.471501028605372e-4,0.95,-2.453526009880461e-4,7.234579997759991e-4,0.9672369002770355,Inf,0.3334256
